ui.dialog.you_earned,DU HAST VERDIENT!
ui.dialog.collect_double,KASSIERE DOPPELT
ui.dialog.collect,KASSIEREN
ui.dialog.power,KRAFT
ui.dialog.ammo,MUNITION
ui.dialog.tap_to_start,ZUM STARTEN ANTIPPEN
ui.dialog.offline_reward,+{0}% OFFLINE-BELOHNUNG
ui.dialog.speed,+{0}% TEMPO
ui.dialog.bonus_coins,+{0}% BONUS-MÜNZEN
ui.dialog.unlock,FREISCHALTEN
ui.dialog.choose,WÄHLEN
ui.settings.terms_and_privacy,TEILNAHMEBEDINGUNGEN UND DATENSCHUTZ
ui.settings.soundon,TON AN
ui.settings.vibrationon,VIBRATION AN
ui.settings.soundoff,TON AUS
ui.settings.vibrationoff,VIBRATION AUS
ui.settings.musicon,MUSIK AN
ui.settings.musicoff,MUSIK AUS
ui.settings.header,EINSTELLUNGEN
ui.removeads,GESAMTE WERBUNG entfernen
ui.dialog.doublecoins,Kassiere doppelte Münzen
ui.dialog.doubleincome,Doppelte Belohnung
ui.popup.auto.renewable.subscription.start,KOSTENLOSEN TEST STARTEN
ui.popup.auto.renewable.subscription.button.description,3 Tage kostenlos"," danach {0} pro Woche
ui.popup.auto.renewable.subscription.week,{0}    WOCHE
ui.popup.auto.renewable.subscription.month,{0}    MONAT
ui.dailygift.header,TÄGLICHES GESCHENK
ui.offlineearnings.header,OFFLINE-VERDIENST ERHALTEN!
ui.dialog.noads.oops,HOPPLA!
ui.dialog.noads.adsproblem,KEINE WERBUNG
ui.dialog.nointernet,KEIN INTERNET
ui.dialog.language,Deutsch
ui.dialog.doubleloot,Münzschatz verdoppeln!
localnotification.dailygift,Ein tägliches Geschenk wartet auf euch! Einfach nehmen!
localnotification.offlinereward,Maximale Anzahl an Münzen fürs Offline-sein jetzt verfügbar!
ui.dialog.somethingwrong,DA IST ETWAS SCHIEF GELAUFEN
ui.dialog.ok,OK
ui.dialog.needcoins,BRAUCHST DU MÜNZEN?
ui.dialog.bestvalue,BESTER WERT
ui.dialog.mostpopular,AM BELIEBTESTEN
ui.dialog.free,+{0} kostenlos
ui.dialog.buy,KAUFEN
ui.dialog.get,BEKOMMEN
ui.dialog.dayupper,TAG {0}
ui.dialog.daylower,TAG {0}
ui.dialog.claimed,Angefordert
ui.dialog.claim,ANFORDERN
ui.dialog.start,STARTEN
ui.dialog.today,heute
ui.dialog.rateus,BEWERTE UNS!
ui.dialog.likeourgame,Magst Du unser Spiel?
ui.dialog.ratebutton,Bewerten
ui.dialog.liketoget.desc,{0} MÖGEN drücken {1}%tag_line%um eine kostenlose"," besondere Belohnung zu erhalten!
ui.dialog.liketoget.button,MÖGEN
ui.dialog.social.header,KOSTENLOSE MÜNZEN?
ui.dialog.subscribe.button,Abonnieren

