ui.dialog.you_earned,KAZANDIN!
ui.dialog.collect_double,TOPLA X2
ui.dialog.collect,TOPLA
ui.dialog.power,GÜÇ
ui.dialog.ammo,CEPHANE
ui.dialog.tap_to_start,BAŞLAMAK İÇİN DOKUN
ui.dialog.offline_reward,+{0}% ÇEVRİMDIŞI ÖDÜL
ui.dialog.speed,+{0}% HIZ
ui.dialog.bonus_coins,+{0}% İKRAMİYE JETONLAR
ui.dialog.unlock,KİLİDİNİ AÇ
ui.dialog.choose,SEÇ
ui.settings.terms_and_privacy,ŞARTLAR VE GİZLİLİK
ui.settings.soundon,SES:AÇIK
ui.settings.vibrationon,TİTREŞİM:AÇIK
ui.settings.soundoff,SES:KAPALI
ui.settings.vibrationoff,TİTREŞİM:KAPALI
ui.settings.musicon,MÜZIK:AÇIK
ui.settings.musicoff,MÜZIK:KAPALI
ui.settings.header,AYARLAR
ui.removeads,TÜM REKLAMLARI Kaldır
ui.dialog.doublecoins,X2 jeton kazan
ui.dialog.doubleincome,X2 daha fazla ödül
ui.popup.auto.renewable.subscription.start,ÜCRETSİZ DENEMEYE BAŞLA
ui.popup.auto.renewable.subscription.button.description,3 gün boyunca ücretsiz"," ardından haftada {0}
ui.popup.auto.renewable.subscription.week,{0}    HAFTA
ui.popup.auto.renewable.subscription.month,{0}   AY
ui.dailygift.header,GÜNLÜK HEDİYE
ui.offlineearnings.header,ÇEVRİMDIŞI ÖDÜLLER KAZAN!
ui.dialog.noads.oops,AMAN!
ui.dialog.noads.adsproblem,REKLAM YOK
ui.dialog.nointernet,İNTERNET YOK
ui.dialog.language,Türkçe
ui.dialog.doubleloot,Jeton yağmanı ikiye katla!
localnotification.dailygift,Günlük hediye seni bekliyor! Sadece al!
localnotification.offlinereward,Çevrimdışı olmaktan kazanılan maksimum jeton sayısı artık kullanılabilir durumda!
ui.dialog.somethingwrong,BİR ŞEYLER TERS GİTTİ
ui.dialog.ok,TAMAM
ui.dialog.needcoins,JETONA MI İHTİYACIN VAR?
ui.dialog.bestvalue,EN İYİ TEKLİF
ui.dialog.mostpopular,EN POPÜLER
ui.dialog.free,+{0} ücretsiz
ui.dialog.buy,SATIN AL
ui.dialog.get,AL
ui.dialog.dayupper,{0}. GÜN
ui.dialog.daylower,{0}. Gün
ui.dialog.claimed,Teslim Alındı
ui.dialog.claim,TESLİM AL
ui.dialog.start,BAŞLA
ui.dialog.today,bugün
ui.dialog.rateus,BİZE PUAN VER!
ui.dialog.likeourgame,Oyunumuzu beğendin mi?
ui.dialog.ratebutton,PUAN VER!
ui.dialog.liketoget.desc,{0} ÜCRETSİZ {1}%tag_line%özel ödül kazanmak için beğen!
ui.dialog.liketoget.button,BEĞEN
ui.dialog.social.header,ÜCRETSİZ MADENİ PARALAR!
ui.dialog.subscribe.button,ABONE OL

